0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:49 +0530] "GET /Online-Retail-Web-app/detail HTTP/1.1" 200 6202
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:51 +0530] "GET /Online-Retail-Web-app/detail? HTTP/1.1" 200 6202
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:16:22 +0530] "GET /Online-Retail-Web-app/detail HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:16:24 +0530] "GET /Online-Retail-Web-app/detail HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:16:26 +0530] "GET /Online-Retail-Web-app/order? HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:17:04 +0530] "GET /Online-Retail-Web-app/order? HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:18:23 +0530] "GET /Online-Retail-Web-app/order? HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:18:48 +0530] "GET /Online-Retail-Web-app/order? HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:19:00 +0530] "GET /Online-Retail-Web-app/order? HTTP/1.1" 200 4368
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:28:53 +0530] "GET /Online-Retail-Web-app/order? HTTP/1.1" 500 3691
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:28:53 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:01 +0530] "GET /Online-Retail-Web-app/auth HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:08 +0530] "POST /Online-Retail-Web-app/checking HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:08 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:11 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:12 +0530] "GET /Online-Retail-Web-app/detail HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:16 +0530] "GET /Online-Retail-Web-app/order? HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:31 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:33 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9394
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:41 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:42 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:47 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:29:51 +0530] "GET /Online-Retail-Web-app/productdetail/11 HTTP/1.1" 200 9327
